#grade:multiplier,additional
-3.7:5.474204647273116,-40.692433994507795 #res level 0
-3.4:5.600871383914644,-38.8911284719814 #res level 1
-2.5:5.816495926332114,-34.916964458529826 #res level 2
-1.9:6.684878320932266,-43.81325647092803 #res level 3
-0.7:7.404348687488685,-54.76520500523625 #res level 4
0.5:8.934266723515545,-74.69672493880357 #res level 5
1.4:9.390661747303156,-62.28763691142238 #res level 6
2.9:10.263627957013293,-66.38214845184638 #res level 7
4.0:11.751240505611712,-85.0926507335168 #res level 8
5.6:13.015782303947048,-86.50802502312861 #res level 9
7.4:13.848484707180589,-87.10960377936712 #res level 10
8.6:15.6542044654928,-102.49546260224156 #res level 11
9.8:16.30707083457619,-100.08899178421834 #res level 12
11.0:17.763601707105828,-133.49497480307215 #res level 13
